typ,ra,dec,mag,names
Gxy,46.13505,42.3394,12.3,NGC1175
Gxy,46.3788,42.8353,11.7,NGC1174
Gxy,46.3788,42.8353,11.6,NGC1186
OC,46.48215,44.3831,12.6,NGC1193
Gxy,46.5129,-15.6117,11.3,NGC1209
Gxy,46.55535,41.8486,12.6,NGC1198
Gxy,46.54965,-9.54111,12.5,NGC1208
Gxy,46.52505,-39.0361,12.6,NGC1217
Gxy,46.541399999999996,42.372,12.51,IC284
Gxy,46.6887,-25.7169,12.8,NGC1210
Gxy,46.7187,-0.795,12.3,NGC1211
Gxy,47.0637,38.3825,12.8,NGC1207
Gxy,47.1087,4.11083,13.0,NGC1218
Gxy,47.1171,2.10806,12.8,NGC1219
Gxy,47.2371,-2.95472,12.5,NGC1222
Gxy,47.43795,-20.5792,10.1,NGC1232
Gxy,47.50545,-53.3358,11.5,NGC1249
PN,47.575050000000005,61.3167,12.0,IC289
Gxy,47.77215,35.3867,13.0,NGC1226
Gxy,47.811299999999996,-8.92222,12.0,NGC1241
OC,47.9196,53.3483,11.8,NGC1220
Gxy,48.058800000000005,-10.4806,12.7,NGC1247
GC,48.06375,-55.2169,8.3,NGC1261/C87
Gxy,48.20205,-5.22472,12.5,NGC1248
Gxy,48.38295,-25.725,11.2,NGC1255
Gxy,48.53835,-2.8225,11.7,NGC1253
OC,48.6729,47.2389,8.4,NGC1245
Gxy,48.837900000000005,41.3556,12.8,NGC1250
Gxy,49.0029,-2.42722,13.0,NGC1266
Gxy,49.1892,80.7922,12.6,NGC1184
Gxy,49.304550000000006,-32.5769,12.2,NGC1288
Gxy,49.326299999999996,-41.1072,8.5,NGC1269
Gxy,49.326299999999996,-41.1072,8.6,NGC1291
Gxy,49.47255,-7.29861,12.8,NGC1285
Gxy,49.5612,-27.6108,12.2,NGC1292
Gxy,49.5654,41.8581,12.2,NGC1265
Gxy,49.5666,-66.4986,9.2,NGC1313
Gxy,49.70715,-1.97361,12.6,NGC1289
Gxy,49.74165,41.4703,12.8,NGC1270
Gxy,49.8096,-19.1003,11.9,NGC1297
Gxy,49.838699999999996,41.4908,12.7,NGC1272
Gxy,49.92045,-19.4111,10.5,NGC1300
Gxy,49.9509,41.5117,12.0,NGC1275/C24
Gxy,49.97535,41.5633,12.7,NGC1278
Gxy,49.9629,-26.0611,10.6,NGC1302
Gxy,50.04045,-6.26222,13.0,NGC1299
Gxy,50.02785,-52.1878,12.8,NGC1311
Gxy,50.05035,41.3672,12.8,NGC1282
Gxy,50.0541,-2.11417,12.8,NGC1298
Gxy,50.26245,-25.5125,13.0,NGC1306
Gxy,50.26455,-37.1019,12.5,NGC1310
Gxy,50.527049999999996,-15.4006,11.3,NGC1309
Gxy,50.67375,-37.2083,8.5,NGC1316
Gxy,50.685,-37.1033,11.2,NGC1317
Gxy,50.685,-37.1033,11.1,NGC1318
Gxy,50.7771,-21.375,12.5,NGC1315
Gxy,50.98545,-21.5275,13.0,NGC1319
Gxy,50.98455,-36.4647,10.5,NGC1326
Gxy,51.105000000000004,-21.5447,11.7,NGC1325
Gxy,51.20295,-3.04222,12.5,NGC1320
Gxy,51.25755,-5.74583,12.7,NGC1324
Gxy,51.4161,-52.7855,12.92,IC1933
Gxy,51.5109,-17.5917,12.7,NGC1329
Gxy,51.5712,-21.3344,10.4,NGC1332
